GeographyKey,ContinentName,CityName,StateProvinceName,RegionCountryName
738,Europe,Baildon,England ,United Kingdom
424,North America,Bellevue,Washington,United States
586,Europe,Berlin,Berlin,Germany
840,North America,Green Bay,Wisconsin,United States
710,Asia,Beijing,Beijing,China
853,North America,Jacksonville,Florida,United States
783,North America,Alexandria,Virginia,United States
770,Europe,Ramstein,Rhineland-Palatinate,Germany 
529,Europe,Paris,Seine (Paris),France
784,North America,Anchorage,Alaska,United States
823,North America,Elmira,New York,United States
800,North America,Bethesda,Maryland,United States
882,North America,Morristown ,New Jersey,United States
727,Asia,Shanghai,Shanghai,China
804,North America,Brooklyn,New York,United States
923,North America,Round Rock,Texas,United States
864,North America,Litchfield County,Connecticut,United States
906,North America,Pasadena,Texas,United States
558,Asia,Sydney,New South Wales,Australia
912,North America,Poestenkill,New York,United States
781,Europe,West Yorkshire,England ,United Kingdom
798,North America,Beaumont,Texas,United States
449,Europe,Cambridge,England,United Kingdom
914,North America,Provincetown,Massachusetts,United States
737,Europe,Athens,Central Greece and Evvoia,Greece 
453,North America,Cedar Park,Texas,United States
776,Europe,Torino,Province of Turin,Italy    
937,North America,Tallahassee,Florida,United States
894,North America,North Harford,Maryland,United States
810,North America,Charleston ,South Carolina,United States
849,North America,Houston,Texas,United States
935,North America,Sunnyside,Washington,United States
750,Europe,Giebelstadt,Bavaria,Germany 
839,North America,Greeley,Colorado,United States
888,North America,New Haven ,Connecticut,United States
816,North America,Darien,Connecticut,United States
949,North America,Waukesha,Wisconsin,United States
893,North America,North Bend,Washington,United States
837,North America,Grand Prairie,Texas,United States
913,North America,Port Washington,Wisconsin,United States
909,North America,Pittsfield,Massachusetts,United States
863,North America,Lewisville,Texas,United States
881,North America,Montreal,Quebec,Canada
730,Asia,Tehran,Tehran,Iran
775,Europe,Strasbourg,Bas-Rhin,France
726,Asia,Seoul,Seoul-jikhalsi,South Korea
795,North America,Bangor,Maine,United States
755,Europe,Lancashire,England ,United Kingdom
847,North America,Hoboken ,New Jersey,United States
575,North America,Yakima,Washington,United States
907,North America,Passaic ,New Jersey,United States
598,North America,Calgary,Alberta,Canada
832,North America,Framingham,Massachusetts,United States
887,North America,New Castle,Colorado,United States
892,North America,Norfolk,Virginia,United States
931,North America,Somerville,Massachusetts,United States
506,Europe,London,England,United Kingdom
712,Asia,Busan ,Yeongnam,South Korea
693,North America,Seattle,Washington,United States
822,North America,Edgerton,Wisconsin,United States
708,Asia,Ashgabat,Ahal Province,Turkmenistan
856,North America,Kennewick,Washington,United States
711,Asia,Bishkek,Chuy Province,Kyrgyzstan
714,Asia,Damascus,Damascus,Syria
841,North America,Greenville,South Carolina,United States
551,North America,Spokane,Washington,United States
921,North America,Roanoke,Virginia,United States
842,North America,Hackensack ,New Jersey,United States
858,North America,La Porte,Texas,United States
814,North America,Clifton,New Jersey,United States
903,North America,Ottawa,Ontario,Canada
758,Europe,Ljubljana,Ljubljana,Slovenia
732,Asia,Tokyo,Kanto,Japan
579,North America,Baytown,Texas,United States
857,North America,Key West,Florida,United States
870,North America,Madison,Wisconsin,United States
745,Europe,Copenhagen,Staden Kobenhavn,Denmark       
562,North America,Vancouver,British Columbia,Canada
918,North America,Racine,Wisconsin,United States
941,North America,Toppenish,Washington,United States
829,North America,Fort Collins,Colorado,United States
824,North America,Englewood,Colorado,United States
940,North America,Thornton,Colorado,United States
576,Europe,York,England,United Kingdom
902,North America,Oswego,New York,United States
946,North America,Virginia Beach,Virginia,United States
747,Europe,Dusseldorf,North Rhine-Westphalia,Germany 
735,Asia,Yokohama ,Kanto,Japan
877,North America,Milliken,Colorado,United States
724,Asia,Osaka ,Kansai,Japan
763,Europe,Milan,Lombardia,Italy    
885,North America,New Bedford,Massachusetts,United States
785,North America,Annapolis,Maryland,United States
761,Europe,Manchester,England ,United Kingdom
715,Asia,Guangzhou,GuangDong,China
928,North America,Sheboygan,Wisconsin,United States
731,Asia,Thimphu,Thimphu District,Bhutan
748,Europe,Edinburgh,Scotland,United Kingdom
919,North America,Richardson,Texas,United States
916,North America,Queens,New York,United States
827,North America,Fond du Lac,Wisconsin,United States
651,Europe,Liverpool,England,United Kingdom
897,North America,Orange,Texas,United States
743,Europe,Cheshire,England ,United Kingdom
920,North America,Ridgely,Maryland,United States
718,Asia,Kolkata ,West Bengal,India
817,North America,Denton,Texas,United States
808,North America,Cape May,New Jersey,United States
764,Europe,Moscow,Moskovskaya oblast,Russia
768,Europe,Nizhny Novgorod ,Nizhny Novgorod Oblast,Russia
896,North America,Old Saybrook,Connecticut,United States
678,North America,Renton,Washington,United States
850,North America,Howard,Maryland,United States
788,North America,Atlantic City ,New Jersey,United States
729,Asia,Taipei,Taiwan,Taiwan
752,Europe,Hofheim am Taunus,Hesse,Germany 
772,Europe,Saint Petersburg,Northwestern,Russia
734,Asia,Yerevan,Armenia,Armenia
754,Europe,Koln,North Rhine-Westphalia,Germany 
861,North America,Leominster,Massachusetts,United States
709,Asia,Bangkok,Krung Thep,Thailand
910,North America,Plano,Texas,United States
728,Asia,Singapore,Singapore,Singapore
716,Asia,Hong Kong,Hong Kong,China
765,Europe,Munich,Bavaria,Germany 
717,Asia,Islamabad,Islamabad Capital Territory,Pakistan
797,North America,Bayonne ,New Jersey,United States
721,Asia,Mumbai ,Maharashtra,India
951,North America,Winchester,Virginia,United States
787,North America,Arlington,Texas,United States
723,Asia,New Delhi,National Capital Territory of Delhi,India
725,Asia,Sapporo ,Hokkaido,Japan
865,North America,Littleton,Colorado,United States
771,Europe,Roma,Roma,Italy    
880,North America,Montclair ,New Jersey,United States
740,Europe,Berne,Bern,Switzerland 
736,Europe,Amsterdam,Noord-Holland,the Netherlands
739,Europe,Baumholder,Rhineland-Palatinate,Germany 
741,Europe,Bucharest,Bucuresti,Romania 
746,Europe,Dublin,Leinster,Ireland 
806,North America,Burlington,Wisconsin,United States
753,Europe,Knotty Ash,England ,United Kingdom
